First,Last,Player,Team,Season,Min,Pos,Shots,SoT,Dist,Solo,Goals,xG,xPlace,G.xG,KeyP,Dist.key,Assts,xA,A.xA,xG.xA,xGperShot,xAperPass,GmxGperShot,AmxAperPass
Sebastian,Giovinco,Sebastian Giovinco,TOR,2015,2894,F,181,71,24.4358623,0.397790055,22,18.00322211,0.917114738,3.996777888,62,14.37596671,13,9.25255617,3.74744383,27.25577828,0.099465316,0.149234777,0.022081646,0.060442642
Bradley,Wright-Phillips,Bradley Wright-Phillips,NYRB,2015,2975,F,113,49,15.72397289,0.185840708,17,21.84944953,1.366676048,-4.849449534,37,21.45725647,6,3.946006631,2.053993369,25.79545616,0.19335796,0.106648828,-0.042915483,0.055513334
Nemanja,Nikolic,Nemanja Nikolic,CHI,2017,3069,F,118,56,16.19249951,0.194915254,24,22.2773009,0.154147045,1.722699102,25,20.65430655,3,2.702448344,0.297551656,24.97974924,0.188790686,0.108097934,0.014599145,0.011902066
David,Villa,David Villa,NYC,2015,2650,F,138,63,21.8331126,0.239130435,18,18.39798134,0.660153565,-0.397981343,51,21.0347001,5,6.045534471,-1.045534471,24.44351581,0.133318705,0.118539892,-0.002883923,-0.020500676
David,Villa,David Villa,NYC,2016,3039,F,166,66,19.63786343,0.210843373,23,19.77511887,-0.313606756,3.224881127,47,19.41348273,4,4.615444758,-0.615444758,24.39056363,0.119127222,0.098200952,0.019426995,-0.013094569
Kei,Kamara,Kei Kamara,CLB,2015,2890,F,135,57,15.02438801,0.125925926,22,19.65563806,-0.737387115,2.344361937,36,21.61742032,6,4.04923149,1.95076851,23.70486955,0.145597319,0.112478652,0.017365644,0.054188014
David,Villa,David Villa,NYC,2017,2684,F,136,55,21.23536556,0.294117647,22,16.00030034,1.856589782,5.999699658,64,18.94907686,5,6.941307313,-1.941307313,22.94160766,0.117649267,0.108457927,0.044115439,-0.030332927
Sebastian,Giovinco,Sebastian Giovinco,TOR,2016,2542,F,176,57,25.06224492,0.363636364,17,16.05242496,-0.108210081,0.947575041,51,15.09738956,14,6.887384989,7.112615011,22.93980995,0.09120696,0.135046764,0.005383949,0.139463039
Ola,Kamara,Ola Kamara,CLB,2017,3004,F,89,39,15.49024053,0.157303371,18,18.16738977,-0.597116008,-0.167389775,26,19.52803667,3,3.496094464,-0.496094464,21.66348424,0.204127975,0.134465172,-0.001880784,-0.019080556
Diego,Valeri,Diego Valeri,POR,2017,3002,A,93,39,21.1098608,0.279569892,21,13.882802,4.032522945,7.117198004,68,17.87455627,9,7.614870277,1.385129723,21.49767227,0.149277441,0.111983386,0.076529011,0.020369555
Fanendo,Adi,Fanendo Adi,POR,2016,2816,F,88,36,13.49800051,0.227272727,16,18.27344129,-2.910415635,-2.273441294,40,21.99391307,0,2.84109215,-2.84109215,21.11453344,0.207652742,0.071027304,-0.02583456,-0.071027304
Joao,Plata,Joao Plata,RSL,2017,2417,A,95,29,21.21491421,0.231578947,7,13.29776854,-4.419293264,-6.297768544,81,19.32684455,4,7.518777776,-3.518777776,20.81654632,0.139976511,0.092824417,-0.0662923,-0.043441701
Ola,Kamara,Ola Kamara,CLB,2016,1979,F,80,37,14.816233,0.1875,16,17.47431564,1.732703769,-1.474315637,16,15.28146538,2,2.882750736,-0.882750736,20.35706637,0.218428945,0.180171921,-0.018428945,-0.055171921
Bradley,Wright-Phillips,Bradley Wright-Phillips,NYRB,2016,2899,F,104,54,15.91777104,0.105769231,24,17.02460034,5.62287908,6.975399656,36,20.04378876,4,2.986054596,1.013945404,20.01065494,0.16369808,0.082945961,0.067071151,0.02816515
